S_S2_Ea_077_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ea_077_v1v9_2	RXN-11135
S_S2_Ea_077_v1v9_3	RXN-11135
S_S2_Ea_077_v1v9_4	RXN-11135
S_S2_Ea_077_v1v9_5	RXN-11135
S_S2_Ea_077_v1v9_6	RXN-11135
S_S2_Ea_077_v1v9_7	RXN-11135
S_S2_Ea_077_v1v9_8	RXN-11135
S_S2_Ea_077_v1v9_9	RXN-11135
S_S2_Ea_077_v1v9_10	RXN-11135
S_S2_Ea_077_v1v9_11	RXN-11135
S_S2_Ea_077_v1v9_12	RXN-11135
S_S2_Ea_077_v1v9_13	RXN-11135
S_S2_Ea_077_v1v9_14	RXN-11135
S_S2_Ea_077_v1v9_15	3.2.1.23-RXN
S_S2_Ea_077_v1v9_15	RXN-12400
S_S2_Ea_077_v1v9_15	RXN-12399
S_S2_Ea_077_v1v9_15	RXN-12398
S_S2_Ea_077_v1v9_15	BETAGALACTOSID-RXN
S_S2_Ea_077_v1v9_15	KETOLACTOSE-RXN
S_S2_Ea_077_v1v9_16	3.2.1.23-RXN
S_S2_Ea_077_v1v9_16	RXN-12400
S_S2_Ea_077_v1v9_16	RXN-12399
S_S2_Ea_077_v1v9_16	RXN-12398
S_S2_Ea_077_v1v9_16	BETAGALACTOSID-RXN
S_S2_Ea_077_v1v9_16	KETOLACTOSE-RXN
S_S2_Ea_077_v1v9_17	3.2.1.23-RXN
S_S2_Ea_077_v1v9_17	RXN-12400
S_S2_Ea_077_v1v9_17	RXN-12399
S_S2_Ea_077_v1v9_17	RXN-12398
S_S2_Ea_077_v1v9_17	BETAGALACTOSID-RXN
S_S2_Ea_077_v1v9_17	KETOLACTOSE-RXN
S_S2_Ea_077_v1v9_18	RXN0-5226
S_S2_Ea_077_v1v9_18	3.2.1.52-RXN
S_S2_Ea_077_v1v9_18	RXN-12625
S_S2_Ea_077_v1v9_18	RXN-12626
S_S2_Ea_077_v1v9_19	RXN0-5226
S_S2_Ea_077_v1v9_19	3.2.1.52-RXN
S_S2_Ea_077_v1v9_19	RXN-12625
S_S2_Ea_077_v1v9_19	RXN-12626
S_S2_Ea_077_v1v9_20	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_21	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_22	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_23	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_24	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_25	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_26	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_27	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_28	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_29	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_30	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_077_v1v9_31	2.1.1.72-RXN
S_S2_Ea_077_v1v9_32	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_077_v1v9_33	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_077_v1v9_34	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_077_v1v9_35	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_077_v1v9_36	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_077_v1v9_37	2.7.13.3-RXN
S_S2_Ea_077_v1v9_38	2.7.13.3-RXN
S_S2_Ea_077_v1v9_39	2.7.13.3-RXN
S_S2_Ea_077_v1v9_40	2.7.13.3-RXN
S_S2_Ea_077_v1v9_41	2.7.13.3-RXN
S_S2_Ea_077_v1v9_42	2.7.13.3-RXN
S_S2_Ea_077_v1v9_43	2.7.13.3-RXN
S_S2_Ea_077_v1v9_44	2.7.13.3-RXN
S_S2_Ea_077_v1v9_45	2.7.13.3-RXN
S_S2_Ea_077_v1v9_46	2.7.13.3-RXN
S_S2_Ea_077_v1v9_47	2.7.13.3-RXN
S_S2_Ea_077_v1v9_48	2.7.13.3-RXN
S_S2_Ea_077_v1v9_49	2.7.13.3-RXN
S_S2_Ea_077_v1v9_50	RXN-14267
