Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
0	PWY-5143	Yes	Yes	1	1	Activation // Lipid-Biosynthesis	long-chain fatty acid activation // long-chain acyl-CoA synthetase pathway	Escherichia coli,Arabidopsis thaliana	Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion			Fatty acid and lipid biosynthesis			
1	PWY-5340	Yes	Yes	2	2	Noncarbon-Nutrients // Activation	sulfate activation for sulfonation // sulfation pathway	Escherichia coli,Glycine max,Homo sapiens,Saccharomyces cerevisiae,Arabidopsis thaliana	Bacteria	Degradation/utilization/assimilation	Metabolite activation/inactivation/interconversion			Inorganic nutrient metabolism			
2	PWY-5083	Yes	Yes	3	1	Interconversion // Cofactor-Biosynthesis	NAD(P)/NADPH interconversion	Avena sativa,Solanum tuberosum,Spinacia oleracea,Zea mays,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion			Cofactor, carrier, and vitamin biosynthesis			
3	PWY-8138	Yes	Yes	1	1	Noncarbon-Nutrients	polyphosphate metabolism	Escherichia coli	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
4	PWY-5114	Yes	No	8	2	Super-Pathways // Interconversion // Carbohydrates-Biosynthesis	UDP-sugars interconversion	Vicia faba,Petroselinum crispum,Triticum aestivum,Glycine max,Nicotiana tabacum,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolite activation/inactivation/interconversion	Superpathways		Carbohydrate biosynthesis			
5	PWY-7723	Yes	Yes	7	1	Bioluminescence	bacterial bioluminescence	Aliivibrio fischeri,Photobacterium leiognathi,Photobacterium phosphoreum,Vibrio harveyi	Bacteria	Bioluminescence							
6	PWY-40	Yes	Yes	2	1	Polyamine-Biosynthesis	putrescine biosynthesis I	Homo sapiens,Bacillus subtilis,Escherichia coli,Mycolicibacterium phlei,Mycolicibacterium smegmatis	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
7	PWY-43	Yes	Yes	3	3	Polyamine-Biosynthesis	putrescine biosynthesis II	Aeromonas caviae,Campylobacter jejuni,Pseudomonas aeruginosa,Arabidopsis thaliana	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
8	PWY-6305	Yes	No	3	1	Super-Pathways // Polyamine-Biosynthesis	superpathway of putrescine biosynthesis // putrescine biosynthesis in plants // ODC and ADC putrescine biosynthesis	Avena sativa,Brassica juncea,Capsicum annuum,Datura stramonium,Dianthus caryophyllus,Glycine max,Malus domestica,Nicotiana tabacum,Oryza sativa,Pisum sativum,Solanum lycopersicum,Theobroma cacao,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Amide, amidine, amine, and polyamine biosynthesis			
9	P101-PWY	Yes	No	4	1	Polyamine-Biosynthesis	ectoine biosynthesis	Halomonas elongata,Chromohalobacter israelensis	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
10	PWY-6562	Yes	Yes	4	2	Polyamine-Biosynthesis	norspermidine biosynthesis // <i>sym</i>-norspermidine biosynthesis	Vibrio vulnificus,Vibrio alginolyticus,Vibrio parahaemolyticus,Vibrio cholerae	Bacteria	Biosynthesis				Amide, amidine, amine, and polyamine biosynthesis			
11	POLYAMINSYN3-PWY	Yes	Yes	7	3	Super-Pathways // Polyamine-Biosynthesis	superpathway of polyamine biosynthesis II // polyamn	Bos taurus,Homo sapiens,Nicotiana tabacum,Pseudomonas aeruginosa,Arabidopsis thaliana	Bacteria	Biosynthesis	Superpathways			Amide, amidine, amine, and polyamine biosynthesis			
12	PWY-6565	Yes	No	5	2	Super-Pathways // Polyamine-Biosynthesis	superpathway of polyamine biosynthesis III	Vibrio vulnificus,Vibrio alginolyticus,Vibrio parahaemolyticus,Vibrio cholerae	Bacteria	Biosynthesis	Superpathways			Amide, amidine, amine, and polyamine biosynthesis			
13	PWY-8072	Yes	Yes	1	1	Amino-Acid-Biosynthesis	alanine racemization	Escherichia coli,Pseudomonas putida	Bacteria	Biosynthesis				Amino acid biosynthesis			
14	PWY-5344	Yes	Yes	2	1	Amino-Acid-Biosynthesis	L-homocysteine biosynthesis	Corynebacterium glutamicum,Agrobacterium fabrum,Leptospira meyeri,Saccharomyces cerevisiae,[Brevibacterium] flavum	Bacteria	Biosynthesis				Amino acid biosynthesis			
15	HOMOSERSYN-PWY	Yes	Yes	3	3	Amino-Acid-Biosynthesis	L-homoserine biosynthesis	Escherichia coli,Methanocaldococcus jannaschii	Bacteria	Biosynthesis				Amino acid biosynthesis			
16	PWY-6936	Yes	Yes	2	1	Amino-Acid-Biosynthesis	seleno-amino acid biosynthesis (plants) // Se-amino acid biosynthesis // L-selenocysteine and L-selenomethionine biosynthesis	Astragalus,Astragalus bisulcatus,Brassica juncea,Pisum sativum,Spinacia oleracea,Arabidopsis thaliana	Non-Bacteria	Biosynthesis				Amino acid biosynthesis			
17	PWY-6395	Yes	No	5	2	Seleno-Amino-Acid-Detoxification // Noncarbon-Nutrients // Super-Pathways // Amino-Acid-Biosynthesis	superpathway of seleno-compound metabolism // superpathway of seleno-compound detoxification // superpathway of selenium uptake and metabolism // superpathway of seleno-amino acid biosynthesis and detoxification	Astragalus,Astragalus bisulcatus,Brassica juncea,Brassica oleracea,Neptunia,Pisum sativum,Saccharomyces cerevisiae,Spartina,Sporobolus alterniflorus,Spinacia oleracea,Arabidopsis thaliana	Bacteria	Degradation/utilization/assimilation	Metabolic clusters	Metabolite activation/inactivation/interconversion		Secondary metabolite degradation			
18	COMPLETE-ARO-PWY	Yes	Yes	18	13	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of aromatic amino acid biosynthesis (from phospho<i>enol</i>pyruvate and D-erythrose 4-phosphate) // superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
19	BRANCHED-CHAIN-AA-SYN-PWY	Yes	Yes	7	5	Super-Pathways // Metabolic-Clusters // Amino-Acid-Biosynthesis	superpathway of branched chain amino acid biosynthesis // superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Metabolic clusters	Superpathways		Amino acid biosynthesis			
20	ASPASN-PWY	Yes	No	3	1	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-aspartate and L-asparagine biosynthesis // Interconversion of L-aspartate and L-asparagine	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
21	P4-PWY	Yes	Yes	17	12	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
22	PWY-724	Yes	Yes	7	4	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
23	PWY-3481	Yes	Yes	2	1	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-phenylalanine and L-tyrosine biosynthesis	Nicotiana sylvestris,Sorghum bicolor,Spinacia oleracea,Zea mays,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
24	SER-GLYSYN-PWY	Yes	Yes	4	4	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of L-serine and glycine biosynthesis I	Escherichia coli,Glycine max,Homo sapiens	Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
25	PWY-821	Yes	No	9	2	Super-Pathways // Amino-Acid-Biosynthesis	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis	Superpathways			Amino acid biosynthesis			
26	TRNA-CHARGING-PWY	Yes	Yes	20	20	Aminoacyl-tRNAs-Charging // Metabolic-Clusters	tRNA charging	Deinococcus radiodurans,Escherichia coli	Bacteria	Macromolecule modification	Metabolic clusters			Aminoacyl-tRNAs-charging			
27	PWY-6164	Yes	Yes	2	1	Carboxylate-Biosynthesis	3-dehydroquinate biosynthesis I	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica	Bacteria	Biosynthesis				Carboxylic acid biosynthesis			
28	PWY-6160	Yes	No	5	2	Carboxylate-Biosynthesis	3-dehydroquinate biosynthesis II (archaea)	Methanocaldococcus jannaschii,Methanococcus maripaludis	Non-Bacteria	Biosynthesis				Carboxylic acid biosynthesis			
29	PWY-6163	Yes	Yes	5	5	Carboxylate-Biosynthesis	chorismate biosynthesis from 3-dehydroquinate	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Methanocaldococcus jannaschii,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Saccharolobus solfataricus	Bacteria	Biosynthesis				Carboxylic acid biosynthesis			
30	ARO-PWY	Yes	Yes	7	6	Super-Pathways // Carboxylate-Biosynthesis	chorismate biosynthesis I // aromatic amino acid biosynthesis // shikimate pathway	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Toxoplasma gondii,Arabidopsis thaliana	Bacteria	Biosynthesis	Superpathways			Carboxylic acid biosynthesis			
31	PWY-6165	Yes	Yes	8	5	Super-Pathways // Carboxylate-Biosynthesis	chorismate biosynthesis II (archaea)	Methanocaldococcus jannaschii,Methanococcus maripaludis	Non-Bacteria	Biosynthesis	Superpathways			Carboxylic acid biosynthesis			
